FECHA,ANNO,MES,DIA,ESTADO MP10,"ESTADO MP2,5"
2016-08-09,2016,8,9,REGULAR ,REGULAR
2016-08-10,2016,8,10,REGULAR ,REGULAR
2016-08-11,2016,8,11,REGULAR ,REGULAR
2016-08-12,2016,8,12,REGULAR ,REGULAR
2016-08-13,2016,8,13,REGULAR ,REGULAR
2016-08-14,2016,8,14,REGULAR ,REGULAR
2016-08-15,2016,8,15,ALERTA ,ALERTA
2016-08-16,2016,8,16,REGULAR ,REGULAR
2016-08-17,2016,8,17,REGULAR ,REGULAR
2016-08-18,2016,8,18,BUENO ,BUENO
2016-08-19,2016,8,19,BUENO ,BUENO
2016-08-20,2016,8,20,REGULAR ,REGULAR
2016-08-21,2016,8,21,REGULAR ,REGULAR
2016-08-22,2016,8,22,REGULAR ,REGULAR
2016-08-23,2016,8,23,REGULAR ,REGULAR
2016-08-24,2016,8,24,REGULAR ,REGULAR
2016-08-25,2016,8,25,REGULAR ,REGULAR
2016-08-26,2016,8,26,BUENO ,BUENO
2016-08-27,2016,8,27,BUENO ,BUENO
2016-08-28,2016,8,28,BUENO ,BUENO
2016-08-29,2016,8,29,BUENO ,BUENO
2016-08-30,2016,8,30,REGULAR ,REGULAR
2016-08-31,2016,8,31,BUENO ,BUENO
2017-04-01,2017,4,1,BUENO ,BUENO
2017-04-02,2017,4,2,BUENO ,BUENO
2017-04-03,2017,4,3,BUENO ,BUENO
2017-04-05,2017,4,5,BUENO ,BUENO
2017-04-06,2017,4,6,BUENO ,BUENO
2017-04-07,2017,4,7,BUENO ,BUENO
2017-04-08,2017,4,8,BUENO ,BUENO
2017-04-09,2017,4,9,BUENO ,BUENO
2017-04-10,2017,4,10,BUENO ,BUENO
2017-04-11,2017,4,11,REGULAR ,REGULAR
2017-04-12,2017,4,12,BUENO ,BUENO
2017-04-13,2017,4,13,BUENO ,BUENO
2017-04-14,2017,4,14,BUENO ,BUENO
2017-04-15,2017,4,15,BUENO ,BUENO
2017-04-16,2017,4,16,BUENO ,BUENO
2017-04-17,2017,4,17,BUENO ,BUENO
2017-04-18,2017,4,18,BUENO ,BUENO
2017-04-19,2017,4,19,BUENO ,BUENO
2017-04-20,2017,4,20,BUENO ,BUENO
2017-04-21,2017,4,21,BUENO ,BUENO
2017-04-22,2017,4,22,BUENO ,BUENO
2017-04-23,2017,4,23,BUENO ,BUENO
2017-04-24,2017,4,24,BUENO ,BUENO
2017-04-25,2017,4,25,BUENO ,BUENO
2017-04-26,2017,4,26,BUENO ,BUENO
2017-04-27,2017,4,27,BUENO ,BUENO
2017-04-28,2017,4,28,REGULAR ,REGULAR
2017-04-29,2017,4,29,REGULAR ,REGULAR
2017-04-30,2017,4,30,REGULAR ,REGULAR
2017-05-01,2017,5,1,REGULAR ,REGULAR
2017-05-02,2017,5,2,REGULAR ,REGULAR
2017-05-03,2017,5,3,BUENO ,BUENO
2017-05-04,2017,5,4,REGULAR ,REGULAR
2017-05-05,2017,5,5,REGULAR ,REGULAR
2017-05-07,2017,5,7,BUENO ,BUENO
2017-05-08,2017,5,8,BUENO ,BUENO
2017-05-09,2017,5,9,ALERTA ,ALERTA
2017-05-10,2017,5,10,REGULAR ,REGULAR
2017-05-11,2017,5,11,BUENO ,BUENO
2017-05-12,2017,5,12,BUENO ,BUENO
2017-05-13,2017,5,13,BUENO ,BUENO
2017-05-14,2017,5,14,BUENO ,BUENO
2017-05-15,2017,5,15,BUENO ,BUENO
2017-05-16,2017,5,16,REGULAR ,REGULAR
2017-05-17,2017,5,17,BUENO ,BUENO
2017-05-18,2017,5,18,BUENO ,BUENO
2017-05-19,2017,5,19,BUENO ,BUENO
2017-05-20,2017,5,20,REGULAR ,REGULAR
